agent_id,persona,entry_gate,initial_destination,speed_mps,patience,group_size
A00001,tourist,GATE_A,FAN_ZONE,1.23,0.76,1
A00002,tourist,GATE_A,FAN_ZONE,1.21,0.74,2
A00003,tourist,GATE_C,MERCH,1.12,0.67,1
A00004,vip,GATE_A,PIT_WALK,1.34,0.95,3
A00005,hardcore_fan,GATE_B,GS_B,1.41,0.9,1
A00006,tourist,GATE_B,PIT_WALK,1.11,0.71,3
A00007,tourist,GATE_C,FAN_ZONE,1.21,0.71,1
A00008,photographer,GATE_C,GS_B,1.12,0.79,1
A00009,family,GATE_A,GS_C,1.13,0.51,1
A00010,family,GATE_A,FAN_ZONE,0.97,0.71,2
A00011,tourist,GATE_C,GS_A,1.2,0.67,3
A00012,family,GATE_A,GS_A,0.85,0.5,2
A00013,tourist,GATE_B,GS_C,1.12,0.66,2
A00014,tourist,GATE_B,FOOD_N,1.08,0.69,3
A00015,hardcore_fan,GATE_VIP,GS_B,1.48,0.86,1
A00016,hardcore_fan,GATE_A,GS_C,1.37,0.81,5
A00017,family,GATE_VIP,FOOD_N,1.16,0.56,2
A00018,vip,GATE_B,PIT_WALK,1.35,0.9,2
A00019,photographer,GATE_C,PIT_WALK,1.41,0.81,2
A00020,hardcore_fan,GATE_C,GS_B,1.47,0.77,1
A00021,tourist,GATE_B,FAN_ZONE,1.01,0.8,2
A00022,hardcore_fan,GATE_A,GS_B,1.59,0.9,1
A00023,photographer,GATE_B,GS_A,1.17,0.61,1
A00024,hardcore_fan,GATE_C,GS_B,1.48,0.93,2
A00025,tourist,GATE_B,FOOD_N,1.05,0.76,5
A00026,hardcore_fan,GATE_A,GS_A,1.39,0.82,2
A00027,hardcore_fan,GATE_C,GS_A,1.47,0.86,3
A00028,hardcore_fan,GATE_A,GS_C,1.46,0.89,5
A00029,hardcore_fan,GATE_B,GS_B,1.57,0.91,3
A00030,family,GATE_B,FOOD_S,0.87,0.37,1
A00031,hardcore_fan,GATE_C,PIT_WALK,1.5,0.88,5
A00032,hardcore_fan,GATE_A,GS_B,1.48,0.83,1
A00033,hardcore_fan,GATE_VIP,PIT_WALK,1.67,0.82,2
A00034,hardcore_fan,GATE_B,GS_A,1.42,0.86,4
A00035,hardcore_fan,GATE_B,FAN_ZONE,1.47,0.79,5
A00036,hardcore_fan,GATE_A,MERCH,1.34,0.81,3
A00037,hardcore_fan,GATE_C,GS_B,1.49,0.82,1
A00038,photographer,GATE_A,GS_A,1.37,0.7,2
A00039,tourist,GATE_A,FAN_ZONE,1.13,0.57,3
A00040,photographer,GATE_A,PIT_WALK,1.31,0.82,2
A00041,family,GATE_VIP,GS_A,1.14,0.56,1
A00042,hardcore_fan,GATE_A,GS_A,1.64,0.79,2
A00043,family,GATE_A,FOOD_N,0.96,0.46,1
A00044,tourist,GATE_C,GS_C,1.36,0.74,2
A00045,hardcore_fan,GATE_A,GS_B,1.43,0.94,3
A00046,hardcore_fan,GATE_C,GS_A,1.23,0.86,1
