run_id,zone,event,weather,attendance,current_density_ratio,flow_rate_ratio,queue_length,blocked_route,future_density_10min_ratio
1,GS_A,PRACTICE,rain,100000,0.6687,0.1282,850.39,0,0.715
1,GS_B,EXIT_RUSH,rain,100000,0.8826,0.9821,1093.59,0,1.0616
1,GS_C,EXIT_RUSH,sunny,120000,0.3995,1.1621,414.95,0,0.5682
1,FAN_ZONE,LUNCH,cloudy,120000,0.6942,0.7983,1152.92,0,0.8253
1,FOOD_N,QUALIFYING,sunny,100000,0.7403,0.9591,258.09,0,0.859
1,FOOD_S,LUNCH,rain,60000,0.6239,0.9138,1254.35,0,0.776
1,MERCH,RACE,heavy_rain,120000,0.877,0.1995,609.1,0,0.9329
1,PIT_WALK,PIT_LANE_WALK,heavy_rain,80000,0.2718,1.0416,728.16,0,0.4404
2,GS_A,RACE,rain,150000,0.9154,0.455,167.22,0,0.9739
2,GS_B,LUNCH,sunny,150000,0.5575,0.5378,1043.45,0,0.6576
2,GS_C,LUNCH,rain,120000,0.8775,0.8295,1278.31,0,1.0218
2,FAN_ZONE,PODIUM,rain,100000,0.2131,0.5238,1267.51,0,0.3315
2,FOOD_N,RACE,cloudy,60000,0.9495,0.5868,61.16,0,1.0116
2,FOOD_S,LUNCH,cloudy,80000,0.5203,1.0166,1474.89,1,0.8028
2,MERCH,EXIT_RUSH,heavy_rain,120000,0.2236,0.4265,1446.89,1,0.4872
2,PIT_WALK,LUNCH,heavy_rain,100000,0.5729,1.1982,288.36,1,0.8539
3,GS_A,PIT_LANE_WALK,heavy_rain,100000,0.7007,1.1801,1205.14,0,0.8975
3,GS_B,PIT_LANE_WALK,sunny,100000,0.865,1.1306,480.23,0,1.0175
3,GS_C,RACE,cloudy,150000,0.831,1.1849,370.34,0,0.9622
3,FAN_ZONE,EXIT_RUSH,cloudy,150000,0.7021,0.6889,157.21,0,0.8173
3,FOOD_N,EXIT_RUSH,sunny,150000,0.7979,0.3464,403.7,1,1.0047
